"xE","yN","Distance"
6339590.576058886,-449944.1494064438,0
-385.49364778896864,-348.42731444428296,6355897.487985211
-384.47942533774756,-348.3773644055006,6355898.503436927
-383.4511387963702,-348.3370671301122,6355899.532512765
-382.45024579310046,-348.2921360736287,6355900.5344137605
-381.43407503960526,-348.245046781112,6355901.551674986
-380.4283153139955,-348.1964915235235,6355902.558606085
-379.4164915248561,-348.1472103399346,6355903.571629291
-378.4118558850443,-348.09877082252876,6355904.577432034
-377.36409499788505,-348.0539034101624,6355905.626153141
-376.33977266431674,-348.0039013110939,6355906.65169517
-375.28655155293563,-347.9605536450642,6355907.705807939
-374.26985938875515,-347.918813842629,6355908.723356546
-373.2274443594617,-347.8797763369535,6355909.766502279
-372.1589310491966,-347.8375741282789,6355910.835848678
-371.13592026585957,-347.7978272202319,6355911.859631311
-370.08959602736945,-347.76149910823295,6355912.906586011
-369.02000227423287,-347.7208428618536,6355913.976952176
-368.0052536793741,-347.6798244941487,6355914.992529458
-366.97319223554433,-347.6417975914828,6355916.025291226
-365.92267332123646,-347.59992457304446,6355917.076644325
-364.85690063462863,-347.55953408312365,6355918.143182093
-363.7853870140816,-347.515154868669,6355919.215614354
-362.70381833849035,-347.47539862398213,6355920.297913462
-361.69864831412895,-347.4370736557556,6355921.303813845
-360.68950270621815,-347.40126401113884,6355922.313594608
-359.6721753550262,-347.36592362634065,6355923.331535609
-358.64622484413144,-347.32812808681837,6355924.358182069
-357.61017976355197,-347.2936615289443,6355925.394800298
-356.56151643572997,-347.2572517759095,6355926.444095512
-355.4982734223778,-347.21729215677925,6355927.508089157
-354.42525590921946,-347.1811921936363,6355928.581713761
-353.3480457817097,-347.13940647536145,6355929.659734032
-352.26512432309954,-347.1062686884058,6355930.743162386
-351.17612702178064,-347.06816175409057,6355931.832826216
-350.1716247349465,-347.03340755327343,6355932.837929543
-349.16144980580845,-347.0001367015025,6355933.848652224
-348.1438046374966,-346.96729358595843,6355934.866827238
-347.11766566686856,-346.9341698198054,6355935.893500688
-346.08335373151493,-346.9023531317372,6355936.928301867
-345.0419858348432,-346.8689048041753,6355937.970206799
-343.99245019795933,-346.8380622048872,6355939.020195522
-342.9346263909419,-346.80580295592875,6355940.078511102
-341.86813349644626,-346.7759911671812,6355941.145420581
-340.79388510199,-346.7422114878883,6355942.220199944
-339.712806616978,-346.71323647311215,6355943.301666653
-338.6300594268907,-346.6802454958554,6355944.384916339
-337.54462369678595,-346.65087245120327,6355945.470749429
-336.4562473558321,-346.6175536549804,6355946.55963565
-335.36699281622595,-346.58763313973895,6355947.649301053
-334.2803956630044,-346.5583325045599,6355948.736293187
-333.19153651680875,-346.52925525428276,6355949.825540508
-332.10067282382664,-346.5006115130594,6355950.916780198
-331.008848808637,-346.47117639389927,6355952.009000921
-329.914684007005,-346.4410195763382,6355953.103581227
-328.81904927271404,-346.41087096266676,6355954.199630683
-327.72210716513814,-346.38014192085774,6355955.297003118
-326.62304951691374,-346.3498149292949,6355956.396479103
-325.6218517439433,-346.3248445117568,6355957.397988215
-324.61911566436277,-346.29679048464766,6355958.401116658
-323.61677755896943,-346.26997297954387,6355959.40381345
-322.61436470536256,-346.2405998716662,6355960.406656562
-321.6076276499788,-346.2176329692869,6355961.413655558
-320.6019078150868,-346.19606786878916,6355962.41960657
